"","event.id","player_id","lastname","firstname","position","team_id","x_loc","y_loc","radius","game_clock","shot_clock","quarter","pointsMadeAfterRebound","homeOrVisitor","rebounder","velocity","GameID"
"69",23,"202710","Butler","Jimmy","G-F",1610612741,67.7684,41.46717,0,589.53,22.72,1,2,2,"Gasol",6.38424577818448,"0021500025"
"70",23,"202694","Morris","Marcus","F",1610612765,82.58117,22.67163,0,589.53,22.72,1,2,2,"Gasol",2.44337455635817,"0021500025"
"71",23,"202704","Jackson","Reggie","G",1610612765,83.48911,30.81326,0,589.53,22.72,1,2,2,"Gasol",0.421369020648877,"0021500025"
"72",23,"203083","Drummond","Andre","C",1610612765,83.48911,30.81326,0,589.53,22.72,1,2,2,"Gasol",0.421369020648877,"0021500025"
"73",23,"2200","Gasol","Pau","F-C",1610612741,86.02248,28.87295,0,589.53,22.72,1,2,2,"Gasol",2.96755814101696,"0021500025"
"74",23,"101141","Ilyasova","Ersan","F",1610612765,86.29978,25.36367,0,589.53,22.72,1,2,2,"Gasol",1.91662374555696,"0021500025"
"75",23,"202703","Mirotic","Nikola","F",1610612741,87.35242,23.66699,0,589.53,22.72,1,2,2,"Gasol",1.52453848036898,"0021500025"
"76",23,"-1","ball",NA,NA,NA,88.61616,27.83627,9.69571,589.53,22.72,1,2,2,"Gasol",9.70310952676096,"0021500025"
"77",23,"203484","Caldwell-Pope","Kentavious","G",1610612765,88.64965,33.06521,0,589.53,22.72,1,2,2,"Gasol",0.773578507348508,"0021500025"
"78",28,"201565","Rose","Derrick","G",1610612741,3.31477,31.70085,0,558.43,23.79,1,2,1,"Jackson",0.901195718285756,"0021500025"
"79",28,"-1","ball",NA,NA,NA,5.06402,24.48312,7.63663,558.43,23.79,1,2,1,"Jackson",1.74506843750144,"0021500025"
"80",28,"202704","Jackson","Reggie","G",1610612765,5.83828,27.33712,0,558.43,23.79,1,2,1,"Jackson",5.35278034683077,"0021500025"
"81",28,"2200","Gasol","Pau","F-C",1610612741,6.13494,25.49365,0,558.43,23.79,1,2,1,"Jackson",3.86924714748066,"0021500025"
"82",28,"203083","Drummond","Andre","C",1610612765,8.23126,23.04582,0,558.43,23.79,1,2,1,"Jackson",1.70570288045938,"0021500025"
"83",28,"202710","Butler","Jimmy","G-F",1610612741,27.27247,14.47652,0,558.43,23.79,1,2,1,"Jackson",11.8280902861139,"0021500025"
"84",28,"202703","Mirotic","Nikola","F",1610612741,44.40317,21.08032,0,558.43,23.79,1,2,1,"Jackson",0.965084324764731,"0021500025"
"85",28,"203503","Snell","Tony","F",1610612741,47.13125,42.21549,0,558.43,23.79,1,2,1,"Jackson",2.67300523755621,"0021500025"
"86",28,"101141","Ilyasova","Ersan","F",1610612765,52.93486,26.30839,0,558.43,23.79,1,2,1,"Jackson",1.80578989165787,"0021500025"
"87",28,"203484","Caldwell-Pope","Kentavious","G",1610612765,57.16753,11.49601,0,558.43,23.79,1,2,1,"Jackson",6.58857188860128,"0021500025"
"88",28,"202694","Morris","Marcus","F",1610612765,71.11952,35.05245,0,558.43,23.79,1,2,1,"Jackson",1.26590313919086,"0021500025"
"89",40,"202703","Mirotic","Nikola","F",1610612741,45.80006,21.7206,0,506.83,22.35,1,2,1,"Drummond",9.49205193213756,"0021500025"
"90",40,"202734","Moore","E'Twaun","G",1610612741,54.04784,11.21655,0,506.83,22.35,1,2,1,"Drummond",13.018789738799,"0021500025"
"91",40,"101141","Ilyasova","Ersan","F",1610612765,57.42874,31.15222,0,506.83,22.35,1,2,1,"Drummond",9.57343833787214,"0021500025"
"92",40,"202710","Butler","Jimmy","G-F",1610612741,63.51703,40.29771,0,506.83,22.35,1,2,1,"Drummond",12.0855612674323,"0021500025"
"93",40,"201565","Rose","Derrick","G",1610612741,64.69715,28.50352,0,506.83,22.35,1,2,1,"Drummond",11.5935109951143,"0021500025"
"94",40,"202694","Morris","Marcus","F",1610612765,74.0655,35.7498,0,506.83,22.35,1,2,1,"Drummond",12.3170260400253,"0021500025"
"95",40,"203484","Caldwell-Pope","Kentavious","G",1610612765,75.11626,15.91498,0,506.83,22.35,1,2,1,"Drummond",15.6259803907827,"0021500025"
"96",40,"2200","Gasol","Pau","F-C",1610612741,78.20108,23.4363,0,506.83,22.35,1,2,1,"Drummond",8.91814175350894,"0021500025"
"97",40,"203083","Drummond","Andre","C",1610612765,87.08136,27.7028,0,506.83,22.35,1,2,1,"Drummond",4.76042924448063,"0021500025"
"98",40,"202704","Jackson","Reggie","G",1610612765,88.05759,18.72975,0,506.83,22.35,1,2,1,"Drummond",8.29587873773327,"0021500025"
"99",40,"-1","ball",NA,NA,NA,88.76228,25.65466,3.12897,506.83,22.35,1,2,1,"Drummond",23.4326596004769,"0021500025"
"100",43,"202734","Moore","E'Twaun","G",1610612741,12.95119,29.97801,0,482.84,20.28,1,2,1,"Jackson",11.6958089860187,"0021500025"
"101",43,"203484","Caldwell-Pope","Kentavious","G",1610612765,18.94992,47.20845,0,482.84,20.28,1,2,1,"Jackson",9.05622705513107,"0021500025"
"102",43,"201565","Rose","Derrick","G",1610612741,19.99236,26.18199,0,482.84,20.28,1,2,1,"Jackson",10.6482870016383,"0021500025"
"103",43,"101141","Ilyasova","Ersan","F",1610612765,21.90357,17.43438,0,482.84,20.28,1,2,1,"Jackson",19.5461898849235,"0021500025"
"104",43,"-1","ball",NA,NA,NA,23.93322,25.71339,2.60689,482.84,20.28,1,2,1,"Jackson",34.9266736514305,"0021500025"
"105",43,"202703","Mirotic","Nikola","F",1610612741,26.01345,19.26384,0,482.84,20.28,1,2,1,"Jackson",20.2086976571163,"0021500025"
"106",43,"202704","Jackson","Reggie","G",1610612765,26.15853,26.73274,0,482.84,20.28,1,2,1,"Jackson",17.8671324642474,"0021500025"
"107",43,"202694","Morris","Marcus","F",1610612765,41.9345,45.50134,0,482.84,20.28,1,2,1,"Jackson",17.2658489289956,"0021500025"
"108",43,"203083","Drummond","Andre","C",1610612765,44.88849,22.62508,0,482.84,20.28,1,2,1,"Jackson",18.2634165027549,"0021500025"
"109",43,"202710","Butler","Jimmy","G-F",1610612741,45.68947,34.382,0,482.84,20.28,1,2,1,"Jackson",19.672567903219,"0021500025"
"110",43,"2200","Gasol","Pau","F-C",1610612741,61.81138,27.20416,0,482.84,20.28,1,2,1,"Jackson",14.1861563995009,"0021500025"
"111",48,"201565","Rose","Derrick","G",1610612741,49.13772,22.14653,0,462.59,22.76,1,2,2,"Gasol",6.16275447926043,"0021500025"
"112",48,"202734","Moore","E'Twaun","G",1610612741,50.62979,7.90882,0,462.59,22.76,1,2,2,"Gasol",8.49787516694474,"0021500025"
"113",48,"202703","Mirotic","Nikola","F",1610612741,57.48825,15.30179,0,462.59,22.76,1,2,2,"Gasol",1.15954618404867,"0021500025"
"114",48,"202710","Butler","Jimmy","G-F",1610612741,59.96923,37.30106,0,462.59,22.76,1,2,2,"Gasol",3.6452591394547,"0021500025"
"115",48,"202694","Morris","Marcus","F",1610612765,75.05247,35.72488,0,462.59,22.76,1,2,2,"Gasol",2.00462275787394,"0021500025"
"116",48,"202704","Jackson","Reggie","G",1610612765,77.34728,25.51056,0,462.59,22.76,1,2,2,"Gasol",7.48984830370309,"0021500025"
"117",48,"101141","Ilyasova","Ersan","F",1610612765,84.1739,23.22743,0,462.59,22.76,1,2,2,"Gasol",5.73744614979657,"0021500025"
"118",48,"203083","Drummond","Andre","C",1610612765,87.70016,24.97066,0,462.59,22.76,1,2,2,"Gasol",4.02793996477968,"0021500025"
"119",48,"-1","ball",NA,NA,NA,88.27687,26.82245,11.89601,462.59,22.76,1,2,2,"Gasol",6.35352515017683,"0021500025"
"120",48,"2200","Gasol","Pau","F-C",1610612741,88.55136,29.54357,0,462.59,22.76,1,2,2,"Gasol",2.69660779922495,"0021500025"
"121",48,"203484","Caldwell-Pope","Kentavious","G",1610612765,88.92159,20.81857,0,462.59,22.76,1,2,2,"Gasol",2.11630595197269,"0021500025"
"122",51,"2200","Gasol","Pau","F-C",1610612741,4.91298,32.37354,0,433.12,22.65,1,2,2,"Gasol",0.801590469177808,"0021500025"
"123",51,"-1","ball",NA,NA,NA,7.29239,31.31824,5.25247,433.12,22.65,1,2,2,"Gasol",24.8195349165518,"0021500025"
"124",51,"202703","Mirotic","Nikola","F",1610612741,9.54955,24.54122,0,433.12,22.65,1,2,2,"Gasol",8.63813731443081,"0021500025"
"125",51,"202710","Butler","Jimmy","G-F",1610612741,13.14606,17.62864,0,433.12,22.65,1,2,2,"Gasol",10.9622847244815,"0021500025"
"126",51,"201565","Rose","Derrick","G",1610612741,15.87903,25.04627,0,433.12,22.65,1,2,2,"Gasol",7.48992648986081,"0021500025"
"127",51,"203083","Drummond","Andre","C",1610612765,19.59697,31.75264,0,433.12,22.65,1,2,2,"Gasol",7.49177474250107,"0021500025"
"128",51,"101141","Ilyasova","Ersan","F",1610612765,30.78518,41.48407,0,433.12,22.65,1,2,2,"Gasol",10.9089237392498,"0021500025"
"129",51,"203484","Caldwell-Pope","Kentavious","G",1610612765,40.42063,38.24432,0,433.12,22.65,1,2,2,"Gasol",13.4476725413178,"0021500025"
"130",51,"202694","Morris","Marcus","F",1610612765,41.69175,10.12027,0,433.12,22.65,1,2,2,"Gasol",10.6729694996826,"0021500025"
"131",51,"202734","Moore","E'Twaun","G",1610612741,43.1202,11.0882,0,433.12,22.65,1,2,2,"Gasol",14.1828659709084,"0021500025"
"132",51,"202704","Jackson","Reggie","G",1610612765,48.7371,19.37118,0,433.12,22.65,1,2,2,"Gasol",9.74431640446338,"0021500025"
"133",54,"202694","Morris","Marcus","F",1610612765,6.61774,29.32105,0,392.15,22.21,1,1,2,"Gasol",9.11900464110882,"0021500025"
"134",54,"2200","Gasol","Pau","F-C",1610612741,6.89857,26.09747,0,392.15,22.21,1,1,2,"Gasol",4.22421736325658,"0021500025"
"135",54,"-1","ball",NA,NA,NA,9.0996,24.72528,6.94963,392.15,22.21,1,1,2,"Gasol",35.0613553684112,"0021500025"
"136",54,"202703","Mirotic","Nikola","F",1610612741,11.85515,38.7648,0,392.15,22.21,1,1,2,"Gasol",8.776025052533,"0021500025"
"137",54,"202710","Butler","Jimmy","G-F",1610612741,12.35036,18.47864,0,392.15,22.21,1,1,2,"Gasol",12.4871891118107,"0021500025"
"138",54,"101141","Ilyasova","Ersan","F",1610612765,16.28802,21.99937,0,392.15,22.21,1,1,2,"Gasol",12.7564388949783,"0021500025"
"139",54,"203083","Drummond","Andre","C",1610612765,16.65787,32.05125,0,392.15,22.21,1,1,2,"Gasol",8.86376969924655,"0021500025"
"140",54,"201565","Rose","Derrick","G",1610612741,23.12207,9.8501,0,392.15,22.21,1,1,2,"Gasol",16.2539014744378,"0021500025"
"141",54,"202704","Jackson","Reggie","G",1610612765,27.00383,41.75208,0,392.15,22.21,1,1,2,"Gasol",13.9930334364634,"0021500025"
"142",54,"202734","Moore","E'Twaun","G",1610612741,28.70605,38.57674,0,392.15,22.21,1,1,2,"Gasol",14.146177019177,"0021500025"
